uid,isbn,rating
2,0195153448,0
8,0002005018,5
11400,0002005018,0
11676,0002005018,8
41385,0002005018,0
67544,0002005018,8
85526,0002005018,0
96054,0002005018,0
116866,0002005018,9
123629,0002005018,9
177458,0002005018,0
200273,0002005018,8
210926,0002005018,9
219008,0002005018,7
263325,0002005018,6
8,0060973129,0
2954,0060973129,8
152827,0060973129,7
8,0374157065,0
35704,0374157065,6
83160,0374157065,0
110912,0374157065,10
137688,0374157065,0
157969,0374157065,8
169187,0374157065,0
192665,0374157065,8
197659,0374157065,9
208059,0374157065,6
209163,0374157065,0
8,0393045218,0
8,0399135782,0
11676,0399135782,9
29526,0399135782,9
36836,0399135782,0
46398,0399135782,9
49300,0399135782,0
49635,0399135782,9
67958,0399135782,10
113270,0399135782,0
113519,0399135782,0
115097,0399135782,7
136509,0399135782,0
148712,0399135782,10
153461,0399135782,0
178269,0399135782,5
180297,0399135782,0
188589,0399135782,0
194722,0399135782,9
198013,0399135782,7
200674,0399135782,0
207148,0399135782,0
211919,0399135782,0
212449,0399135782,8
213191,0399135782,8
230522,0399135782,7
236322,0399135782,0
238557,0399135782,10
242247,0399135782,0
245827,0399135782,9
248583,0399135782,0
252282,0399135782,0
252921,0399135782,8
255661,0399135782,5
8,0425176428,0
52614,0425176428,8
56193,0425176428,0
225910,0425176428,0
274634,0425176428,0
8,0671870432,0
11676,0671870432,8
24539,0671870432,0
8,0679425608,0
8,074322678X,5
8,0771074670,0
11676,0771074670,0
98499,0771074670,0
166596,0771074670,0
189238,0771074670,6
223066,0771074670,0
8,080652121X,0
8,0887841740,5
92861,0887841740,0
8,1552041778,5
8,1558746218,0
3363,1558746218,0
61501,1558746218,7
148514,1558746218,10
174304,1558746218,0
177090,1558746218,0
256233,1558746218,0
263256,1558746218,10
8,1567407781,6
8,1575663937,6
176875,1575663937,0
213915,1575663937,0
8,1881320189,7
35826,1881320189,0
226745,1881320189,7
9,0440234743,0
243,0440234743,0
388,0440234743,0
2977,0440234743,0
3329,0440234743,8
3363,0440234743,0
5760,0440234743,0
6795,0440234743,0
7346,0440234743,9
7352,0440234743,8
9419,0440234743,5
9747,0440234743,0
9856,0440234743,0
11224,0440234743,6
11676,0440234743,9
12685,0440234743,10
12923,0440234743,10
13552,0440234743,8
13582,0440234743,0
14521,0440234743,0
16666,0440234743,0
16795,0440234743,0
17761,0440234743,0
19445,0440234743,0
20435,0440234743,0
20462,0440234743,0
20783,0440234743,0
20801,0440234743,8
20916,0440234743,7
21264,0440234743,5
23511,0440234743,8
23768,0440234743,0
26240,0440234743,5
26544,0440234743,0
26593,0440234743,0
27684,0440234743,9
28123,0440234743,9
28619,0440234743,0
29654,0440234743,0
30487,0440234743,0
30533,0440234743,6
31299,0440234743,10
31315,0440234743,10
31556,0440234743,0
31560,0440234743,6
31694,0440234743,0
32516,0440234743,0
35857,0440234743,0
35859,0440234743,0
36606,0440234743,0
37874,0440234743,0
38718,0440234743,9
38991,0440234743,8
39345,0440234743,0
39646,0440234743,0
40889,0440234743,0
41781,0440234743,0
44663,0440234743,8
45585,0440234743,7
46389,0440234743,8
46398,0440234743,0
46767,0440234743,9
47971,0440234743,0
48268,0440234743,0
48911,0440234743,10
49168,0440234743,9
49994,0440234743,0
52584,0440234743,0
52994,0440234743,0
54005,0440234743,9
54884,0440234743,8
55027,0440234743,7
55419,0440234743,0
55492,0440234743,0
57108,0440234743,0
57423,0440234743,8
57632,0440234743,5
59038,0440234743,0
59390,0440234743,0
60130,0440234743,0
60569,0440234743,0
60683,0440234743,0
62667,0440234743,8
62881,0440234743,0
63470,0440234743,0
64535,0440234743,7
64605,0440234743,0
64679,0440234743,0
66387,0440234743,6
67487,0440234743,6
68256,0440234743,0
68537,0440234743,10
69232,0440234743,0
70205,0440234743,0
70666,0440234743,7
72523,0440234743,0
72912,0440234743,0
72975,0440234743,7
74709,0440234743,0
75691,0440234743,9
75819,0440234743,7
76352,0440234743,0
76368,0440234743,0
76942,0440234743,0
78165,0440234743,10
78754,0440234743,8
78834,0440234743,0
78973,0440234743,7
79186,0440234743,0
79740,0440234743,7
80810,0440234743,0
81088,0440234743,0
81298,0440234743,0
82114,0440234743,9
82893,0440234743,0
83034,0440234743,0
84024,0440234743,0
84611,0440234743,8
85534,0440234743,7
86303,0440234743,0
86969,0440234743,8
87257,0440234743,0
87929,0440234743,0
88006,0440234743,4
90322,0440234743,0
91633,0440234743,0
91832,0440234743,0
93055,0440234743,7
93363,0440234743,0
93643,0440234743,10
93772,0440234743,9
93800,0440234743,6
94074,0440234743,0
94139,0440234743,8
94396,0440234743,0
97721,0440234743,0
98012,0440234743,0
98468,0440234743,0
98723,0440234743,0
98923,0440234743,7
100009,0440234743,0
100393,0440234743,5
101209,0440234743,7
102647,0440234743,0
102967,0440234743,0
103315,0440234743,0
103416,0440234743,0
105124,0440234743,6
105624,0440234743,0
105937,0440234743,0
105979,0440234743,5
106230,0440234743,9
106273,0440234743,0
107201,0440234743,0
107244,0440234743,0
107784,0440234743,9
108143,0440234743,9
108207,0440234743,0
108247,0440234743,10
110127,0440234743,5
110440,0440234743,0
110558,0440234743,5
110973,0440234743,0
112001,0440234743,0
112093,0440234743,4
